aabad	24	1	0.96
aabid	48	16	0.75
aabida	36	11	0.766
aabidi	27	6	0.818
aabou	30	1	0.968
aabouche	21	1	0.955
aaboud	32	1	0.97
aachboun	85	7	0.924
aaddi	20	1	0.952
aadil	20	1	0.952
aafif	22	6	0.786
aaidoun	31	1	0.969
aajoud	21	1	0.955
aakcha	28	7	0.8
aakid	28	6	0.824
aakki	33	14	0.702
aali	130	58	0.691
aalilech	21	1	0.955
aalili	33	1	0.971
aalilou	26	13	0.667
aalouf	30	13	0.698
aaloul	25	1	0.962
aalto	37	7	0.841
aaltonen	28	1	0.966
aalla	25	1	0.962
aallali	20	1	0.952
aallam	45	5	0.9
aamar	35	7	0.833
aamara	25	1	0.962
aamarouch	31	1	0.969
aamer	60	1	0.984
aamimi	26	1	0.963
aamir	73	6	0.924
aanan	32	47	0.405
aananou	53	11	0.828
aanei	37	1	0.974
aaniba	21	1	0.955
aanouz	20	5	0.8
aanzi	44	1	0.978
aaouad	22	5	0.815
aarab	1073	217	0.832
aarabe	29	5	0.853
aaras	36	1	0.973
aarif	32	1	0.97
aarim	25	10	0.714
aaron	27	13	0.675
aarous	30	8	0.789
aarras	71	1	0.986
aarrass	55	1	0.982
aarts	20	5	0.8
aas	44	8	0.846
aasen	21	1	0.955
aatar	20	1	0.952
aatif	29	5	0.853
aattar	29	1	0.967
aazibou	27	6	0.818
aaziz	27	1	0.964
aazouz	52	11	0.825
aazouzi	21	6	0.778
aazzouz	68	7	0.907
aazzouzi	25	7	0.781
aba	141	108	0.566
abaadoud	20	1	0.952
ababei	117	1	0.992
ababii	32	1	0.97
ababou	145	15	0.906
abachri	49	18	0.731
abad de soto	20	15	0.571
abad	29936	29921	0.5
abada	39	11	0.78
abadal	318	309	0.507
abade	27	13	0.675
abades	296	286	0.509
abadez	21	14	0.6
abadi	50	21	0.704
abadia	3846	3890	0.497
abadiano	324	250	0.564
abadias	1024	1001	0.506
abadie	115	106	0.52
abadin	385	388	0.498
abadito	21	28	0.429
abaga	163	108	0.601
abagiu	29	1	0.967
abahri	23	5	0.821
abaid	26	1	0.963
abaida	28	6	0.824
abaigar	329	311	0.514
abaijon	23	20	0.535
abair	36	8	0.818
abaitua	241	262	0.479
abajas	112	49	0.696
abajo	1684	1563	0.519
abajtour	40	12	0.769
abakhti	96	8	0.923
abakouy	46	12	0.793
abal	2103	1894	0.526
abalasei	37	1	0.974
abalde	1171	1181	0.498
abaldea	48	19	0.716
abalia	61	84	0.421
abalo	1297	1153	0.529
abalos	1322	1303	0.504
aballay	42	13	0.764
aballe	124	118	0.512
aballi	21	15	0.583
aban	243	251	0.492
abanades	609	536	0.532
abancens	64	54	0.542
abances	24	20	0.545
abanco	52	65	0.444
abanda	56	39	0.589
abando	207	161	0.562
abanqueiro	24	26	0.48
abans	39	48	0.448
abanses	74	87	0.46
abante	39	23	0.629
abanto	298	311	0.489
abanzabalegui	20	12	0.625
abaña	28	11	0.718
abao	32	41	0.438
abaou	20	1	0.952
abara	25	7	0.781
abarca	2608	2487	0.512
abarcas	33	25	0.569
abardia	146	148	0.497
abardonado	29	49	0.372
abargues	151	148	0.505
abarhoun	23	1	0.958
abariturioz	39	23	0.629
abarkach	54	6	0.9
abarkan	329	49	0.87
abarkane	75	12	0.862
abarki	21	1	0.955
abaroa	211	219	0.491
abarquero	216	238	0.476
abarrategi	78	97	0.446
abarrategui	274	320	0.461
abarri	23	1	0.958
abarrio	62	101	0.38
abarzua	20	17	0.541
abarzuza	149	137	0.521
abas	138	140	0.496
abascal	3980	4435	0.473
abaso	21	7	0.75
abasolo	1056	988	0.517
abass	44	14	0.759
abassi	43	1	0.977
abasto	64	63	0.504
abat	93	96	0.492
abata	52	33	0.612
abatal	27	1	0.964
abate	78	50	0.609
abati	81	50	0.618
abato	88	108	0.449
abatouy	22	1	0.957
abattouy	59	10	0.855
abaunz	56	50	0.528
abaunza	177	202	0.467
abaurre	85	96	0.47
abaurrea	364	295	0.552
abaya	30	27	0.526
abaza	25	1	0.962
abazolo	23	42	0.354
abba	130	39	0.769
abbad jaime de aragon	27	10	0.73
abbad	142	79	0.643
abbadi	158	21	0.883
abbaoui	93	20	0.823
abbar	46	14	0.767
abbas	1516	132	0.92
abbasi	75	19	0.798
abbassi	653	57	0.92
abbate	55	8	0.873
abbaz	25	1	0.962
abbes	84	17	0.832
abbey	30	1	0.968
abbih	30	1	0.968
abbioui	24	1	0.96
abbott	191	10	0.95
abbou	582	80	0.879
abboubi	76	5	0.938
abboud	61	21	0.744
abboudi	36	15	0.706
abbouti	25	6	0.806
abchir	41	8	0.837
abd	27	15	0.643
abdala	166	123	0.574
abdalahe	61	51	0.545
abdalahi	33	34	0.493
abdalla	111	67	0.624
abdallah	219	100	0.687
abdallahi	50	44	0.532
